Thermal,Control,Whitewash,Shading,External,
,,,,-11,
-4,-6,,,-10,
-3.6,-5.6,,,-9,
-2.6,-4.8,,,-8,
-1.4,-4,,,-7,
-1,-3.3,,,-6,
-0.6,-2.9,,,-5,
0,-2,,,-4,
1.1,-1.3,,,-3,
3.3,-0.5,,,-2,
4.2,0,,,-1,
5,2,,,0,
6,3,0,,1,
7.1,4,6,,2,
8.3,5,6.5,,3,
9.8,6,7,,4,
11.5,7,7.5,,5,
13.2,8,8,,6,
14,9,8.5,,7,
16.8,10,9,,8,
18.1,11,9.5,,9,
19,12,10.3,15.4,10,
20.5,13.2,11.5,15.6,11,
22,15,13.005,15.7,12,
24,17,14.62,16.1,13,
26,19,16.245,16.8,14,
27.3,21,17.85,17,15,
29.8,23,19.32,17.2,16,
31.3,25,20.75,17.5,17,
,27,22.14,17.9,18,
,29,23.49,18.2,19,
,30,24.2001,18.4,20,
,32,25.6,19,21,
,33,26.301,19.3,22,
,35,27.825,19.6,23,
,36.5,28.835,20,24,
,38.4,30.144,20.6,25,
,40.1,31.278,21,26,
,42.3,33.2055,21.7,27,
,45.4,34.958,22.1,28,
,46,35,23.3,29,
,48,36.48,24,30,
,49.7,38.1,25,30.7,
,,,25.4,32,
,,,25.9,33,
,,,27.1,34,
,,,27.6,35,
,,,28,36,
,,,28.5,37,
,,,29,38,
,,,29.6,39,
,,,30,40,
,,,,41,
,,,,42,
,,,,43,
,,,,44,
,,,,45,
,,,,46,
,,,,47,
,,,,48,
,,,,49,
,,,,50,
,,,,51,
